acronym;title;ranksys;rank;field;gs_publication;gs_query_used;gs_match_stage;h5_index;h5_median;gs_smilarity
AAAI;National Conference of the American Association for Artificial Intelligence;CORE2023;A*;Artificial intelligence;AAAI Conference on Artificial Intelligence;AAAI;ACRONYM MATCH;232;358;0.683761
AAMAS;International Joint Conference on Autonomous Agents and Multiagent Systems;CORE2023;A*;Artificial intelligence;International Conference on Autonomous Agents and Multiagent Systems;conference autonomous agents multiagent systems;FALLBACK 2 WORDS REMOVED MATCH;54;78;0.957746
ACCV;Asian Conference on Computer Vision;CORE2023;B;Computer vision and multimedia computation;Asian Conference on Computer Vision (ACCV);asian conference computer vision;MATCH;52;81;0.933333
ACIIDS;Asian Conference on Intelligent Information and Database Systems;CORE2023;B;Data management and data science;Asian Conference on Intelligent Information and Database Systems;asian conference intelligent information database systems;MATCH;19;25;1.000000
ACIVS;Advanced Concepts for Intelligent Vision Systems;CORE2023;B;Computer vision and multimedia computation;NA;NA;NO MATCH;NA;NA;NA
ACL;Association for Computational Linguistics;CORE2023;A*;Artificial intelligence;Society for Computation in Linguistics;association computational linguistics;MATCH;19;29;0.835443
ACMMM;ACM International Conference on Multimedia;CORE2023;A*;Computer vision and multimedia computation;ACM International Conference on Multimedia;acm international conference multimedia;MATCH;119;163;1.000000
AISTATS;International Conference on Artificial Intelligence and Statistics;CORE2023;A;Machine learning;International Conference on Artificial Intelligence and Statistics;international conference artificial intelligence statistics;MATCH;101;156;1.000000
ALT;Algorithmic Learning Theory;CORE2023;B;Machine learning;Algorithmic Learning Theory (ALT);algorithmic learning theory;MATCH;33;64;0.931034
ASONAM;IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining;CORE2023;B;Data management and data science;International Conference on Advances in Social Networks Analysis and Mining;international conference advances social networks analysis mining;FALLBACK 2 WORDS REMOVED MATCH;24;36;0.943396
AVSS;IEEE International Conference on Advanced Video and Signal Based Surveillance;CORE2023;B;Computer vision and multimedia computation;IEEE International Conference on Advanced Video and Signal-Based Surveillance (AVSS);ieee international conference advanced video signal based surveillance;MATCH;13;22;0.968553
BMVC;British Machine Vision Conference;CORE2023;A;Computer vision and multimedia computation;British Machine Vision Conference (BMVC);british machine vision conference;MATCH;57;96;0.929577
BigData;IEEE International Conference on Big Data;CORE2023;B;Data management and data science;IEEE International Conference on Big Data;ieee international conference big data;MATCH;55;89;1.000000
CADE;International Conference on Automated Deduction;CORE2023;A;Artificial intelligence;International Conference on Automated Deduction;international conference automated deduction;MATCH;24;37;1.000000
CEC;IEEE Congress on Evolutionary Computation;CORE2023;B;Artificial intelligence;IEEE Congress on Evolutionary Computation;ieee congress evolutionary computation;MATCH;94;137;1.000000
CIDR;Conference on Innovative Data Systems Research;CORE2023;A;Data management and data science;Conference on Innovative Data system Research (CIDR);conference innovative data systems research;MATCH;36;50;0.937500
CIKM;ACM International Conference on Information and Knowledge Management;CORE2023;A;Data management and data science;ACM International Conference on Information and Knowledge Management;acm international conference information knowledge management;MATCH;96;155;1.000000
COLING;International Conference on Computational Linguistics;CORE2023;B;Artificial intelligence;International Conference on Computational Linguistics (COLING);international conference computational linguistics;MATCH;81;122;0.938053
COLT;Conference on Learning Theory;CORE2023;A*;Machine learning;Conference on Learning Theory (COLT);conference learning theory;MATCH;74;112;0.920635
CP;International Conference on Principles and Practice of Constraint Programming;CORE2023;A;Artificial intelligence;International Conference on Principles and Practice of Constraint Programming;international conference principles practice constraint programming;MATCH;20;31;1.000000
CPAIOR;International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems;CORE2023;B;Artificial intelligence;International Conference on Integration of AI and OR Techniques in Constraint Programming;international conference integration artificial intelligence;SUBSTRING MODE MATCH;18;23;0.695312
CPM;Combinatorial Pattern Matching;CORE2023;B;Computer vision and multimedia computation;Combinatorial Pattern Matching (CPM);combinatorial pattern matching;MATCH;13;18;0.937500
CVPR;IEEE Conference on Computer Vision and Pattern Recognition;CORE2023;A*;Computer vision and multimedia computation;IEEE/CVF Conference on Computer Vision and Pattern Recognition;ieee conference computer vision pattern recognition;MATCH;450;702;0.966667
CaiSE;International Conference on Advanced Information Systems Engineering;CORE2023;A;Data management and data science;International Conference on Advanced Information Systems Engineering;international conference advanced information systems engineering;MATCH;24;44;1.000000
CoNLL;Conference on Computational Natural Language Learning;CORE2023;B;Artificial intelligence;Conference on Computational Natural Language Learning (CoNLL);conference computational natural language learning;MATCH;30;47;0.946429
CogSci;Annual Meeting of the Cognitive Science Society;CORE2023;B;Artificial intelligence;Annual Meeting of the Cognitive Science Society;annual meeting cognitive science society;MATCH;36;44;1.000000
DAS;International Workshop on Document Analysis Systems;CORE2023;B;Data management and data science;International Conference on Document Analysis and Recognition;international workshop document analysis;FALLBACK 1 WORD REMOVED MATCH;30;49;0.696429
DASFAA;International Conference on Database Systems for Advanced Applications;CORE2023;B;Data management and data science;International Conference on Database Systems for Advanced Applications;international conference database systems advanced applications;MATCH;23;32;1.000000
DCC;Data Compression Conference;CORE2023;B;Data management and data science;Data Compression Conference, DCC;data compression conference;MATCH;21;32;0.931034
DS;Discovery Science;CORE2023;B;Machine learning;Discovery Science;discovery science;MATCH;18;25;1.000000
DSAA;IEEE International Conference on Data Science and Advanced Analytics;CORE2023;B;Data management and data science;IEEE International Conference on Data Science and Advanced Analytics (DSAA);ieee international conference data science advanced analytics;MATCH;27;38;0.964539
DaWaK;Data Warehousing and Knowledge Discovery;CORE2023;B;Data management and data science;Data Warehousing and Knowledge Discovery (DaWaK);data warehousing knowledge discovery;MATCH;13;17;0.930233
DocEng;ACM Symposium on Document Engineering;CORE2023;B;Data management and data science;ACM Symposium on Document Engineering;acm symposium document engineering;MATCH;14;20;1.000000
EACL;European Association for Computational Linguistics;CORE2023;A;Artificial intelligence;Conference of the European Chapter of the Association for Computational Linguistics (EACL);european association computational linguistics;MATCH;77;128;0.724638
EC;ACM Conference on Economics and Computation;CORE2023;A*;Artificial intelligence;NA;NA;NO MATCH;NA;NA;NA
ECAI;European Conference on Artificial Intelligence;CORE2023;A;Artificial intelligence;European Conference on Artificial Intelligence (ECAI);european conference artificial intelligence;MATCH;44;83;0.948454
ECCV;European Conference on Computer Vision;CORE2023;A*;Computer vision and multimedia computation;European Conference on Computer Vision;european conference computer vision;MATCH;262;417;1.000000
ECIR;European Conference on Information Retrieval;CORE2023;A;Data management and data science;European Conference on Advances in Information Retrieval;european conference information retrieval;MATCH;47;71;0.880000
ECML PKDD;European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database;CORE2023;A;Machine learning;European Conference on Machine Learning and Knowledge Discovery in Databases;european conference machine learning;SUBSTRING MODE MATCH;41;84;0.842697
EDBT;Extending Database Technology;CORE2023;A;Data management and data science;International Conference on Extending Database Technology (EDBT);extending database technology;MATCH;29;43;0.637363
